roleName0,rolePermission10,createAt10,isDefault0,updateAt0
roleName44,rolePermission144,createAt144,isDefault44,updateAt44
roleName45,rolePermission145,createAt145,isDefault45,updateAt45
roleName46,rolePermission146,createAt146,isDefault46,updateAt46
roleName47,rolePermission147,createAt147,isDefault47,updateAt47
roleName48,rolePermission148,createAt148,isDefault48,updateAt48
roleName49,rolePermission149,createAt149,isDefault49,updateAt49
roleName50,rolePermission150,createAt150,isDefault50,updateAt50
roleName51,rolePermission151,createAt151,isDefault51,updateAt51
roleName52,rolePermission152,createAt152,isDefault52,updateAt52
roleName53,rolePermission153,createAt153,isDefault53,updateAt53
roleName54,rolePermission154,createAt154,isDefault54,updateAt54
roleName55,rolePermission155,createAt155,isDefault55,updateAt55
roleName56,rolePermission156,createAt156,isDefault56,updateAt56
roleName57,rolePermission157,createAt157,isDefault57,updateAt57
roleName58,rolePermission158,createAt158,isDefault58,updateAt58
roleName59,rolePermission159,createAt159,isDefault59,updateAt59
roleName60,rolePermission160,createAt160,isDefault60,updateAt60
roleName61,rolePermission161,createAt161,isDefault61,updateAt61
roleName62,rolePermission162,createAt162,isDefault62,updateAt62
roleName63,rolePermission163,createAt163,isDefault63,updateAt63
roleName64,rolePermission164,createAt164,isDefault64,updateAt64
roleName65,rolePermission165,createAt165,isDefault65,updateAt65
roleName66,rolePermission166,createAt166,isDefault66,updateAt66
roleName67,rolePermission167,createAt167,isDefault67,updateAt67
roleName68,rolePermission168,createAt168,isDefault68,updateAt68
roleName69,rolePermission169,createAt169,isDefault69,updateAt69
roleName70,rolePermission170,createAt170,isDefault70,updateAt70
roleName71,rolePermission171,createAt171,isDefault71,updateAt71
roleName72,rolePermission172,createAt172,isDefault72,updateAt72
roleName73,rolePermission173,createAt173,isDefault73,updateAt73
roleName74,rolePermission174,createAt174,isDefault74,updateAt74
roleName75,rolePermission175,createAt175,isDefault75,updateAt75
roleName76,rolePermission176,createAt176,isDefault76,updateAt76
roleName77,rolePermission177,createAt177,isDefault77,updateAt77
roleName78,rolePermission178,createAt178,isDefault78,updateAt78
roleName79,rolePermission179,createAt179,isDefault79,updateAt79
roleName80,rolePermission180,createAt180,isDefault80,updateAt80
roleName81,rolePermission181,createAt181,isDefault81,updateAt81
roleName82,rolePermission182,createAt182,isDefault82,updateAt82
roleName83,rolePermission183,createAt183,isDefault83,updateAt83
roleName84,rolePermission184,createAt184,isDefault84,updateAt84
roleName85,rolePermission185,createAt185,isDefault85,updateAt85
roleName86,rolePermission186,createAt186,isDefault86,updateAt86
roleName87,rolePermission187,createAt187,isDefault87,updateAt87
roleName88,rolePermission188,createAt188,isDefault88,updateAt88
roleName89,rolePermission189,createAt189,isDefault89,updateAt89
roleName90,rolePermission190,createAt190,isDefault90,updateAt90
roleName91,rolePermission191,createAt191,isDefault91,updateAt91
roleName92,rolePermission192,createAt192,isDefault92,updateAt92
roleName93,rolePermission193,createAt193,isDefault93,updateAt93
roleName94,rolePermission194,createAt194,isDefault94,updateAt94
roleName95,rolePermission195,createAt195,isDefault95,updateAt95
roleName96,rolePermission196,createAt196,isDefault96,updateAt96
roleName97,rolePermission197,createAt197,isDefault97,updateAt97
roleName98,rolePermission198,createAt198,isDefault98,updateAt98
roleName99,rolePermission199,createAt199,isDefault99,updateAt99
roleName100,rolePermission1100,createAt1100,isDefault100,updateAt100
roleName101,rolePermission1101,createAt1101,isDefault101,updateAt101
roleName102,rolePermission1102,createAt1102,isDefault102,updateAt102
roleName103,rolePermission1103,createAt1103,isDefault103,updateAt103
roleName104,rolePermission1104,createAt1104,isDefault104,updateAt104
roleName105,rolePermission1105,createAt1105,isDefault105,updateAt105
roleName106,rolePermission1106,createAt1106,isDefault106,updateAt106
roleName107,rolePermission1107,createAt1107,isDefault107,updateAt107
roleName108,rolePermission1108,createAt1108,isDefault108,updateAt108
roleName109,rolePermission1109,createAt1109,isDefault109,updateAt109
roleName110,rolePermission1110,createAt1110,isDefault110,updateAt110
roleName111,rolePermission1111,createAt1111,isDefault111,updateAt111
roleName112,rolePermission1112,createAt1112,isDefault112,updateAt112
roleName113,rolePermission1113,createAt1113,isDefault113,updateAt113
roleName114,rolePermission1114,createAt1114,isDefault114,updateAt114
roleName115,rolePermission1115,createAt1115,isDefault115,updateAt115
roleName116,rolePermission1116,createAt1116,isDefault116,updateAt116
roleName117,rolePermission1117,createAt1117,isDefault117,updateAt117
roleName118,rolePermission1118,createAt1118,isDefault118,updateAt118
roleName119,rolePermission1119,createAt1119,isDefault119,updateAt119
roleName120,rolePermission1120,createAt1120,isDefault120,updateAt120
roleName121,rolePermission1121,createAt1121,isDefault121,updateAt121
roleName122,rolePermission1122,createAt1122,isDefault122,updateAt122
roleName123,rolePermission1123,createAt1123,isDefault123,updateAt123
roleName124,rolePermission1124,createAt1124,isDefault124,updateAt124
roleName125,rolePermission1125,createAt1125,isDefault125,updateAt125
roleName126,rolePermission1126,createAt1126,isDefault126,updateAt126
roleName127,rolePermission1127,createAt1127,isDefault127,updateAt127
roleName128,rolePermission1128,createAt1128,isDefault128,updateAt128
roleName129,rolePermission1129,createAt1129,isDefault129,updateAt129
roleName130,rolePermission1130,createAt1130,isDefault130,updateAt130
roleName131,rolePermission1131,createAt1131,isDefault131,updateAt131
roleName132,rolePermission1132,createAt1132,isDefault132,updateAt132
roleName133,rolePermission1133,createAt1133,isDefault133,updateAt133
roleName134,rolePermission1134,createAt1134,isDefault134,updateAt134
roleName135,rolePermission1135,createAt1135,isDefault135,updateAt135
roleName136,rolePermission1136,createAt1136,isDefault136,updateAt136
roleName137,rolePermission1137,createAt1137,isDefault137,updateAt137
roleName138,rolePermission1138,createAt1138,isDefault138,updateAt138
roleName139,rolePermission1139,createAt1139,isDefault139,updateAt139
roleName140,rolePermission1140,createAt1140,isDefault140,updateAt140
roleName141,rolePermission1141,createAt1141,isDefault141,updateAt141
roleName142,rolePermission1142,createAt1142,isDefault142,updateAt142
roleName143,rolePermission1143,createAt1143,isDefault143,updateAt143
roleName144,rolePermission1144,createAt1144,isDefault144,updateAt144
roleName145,rolePermission1145,createAt1145,isDefault145,updateAt145
roleName146,rolePermission1146,createAt1146,isDefault146,updateAt146
roleName147,rolePermission1147,createAt1147,isDefault147,updateAt147
roleName148,rolePermission1148,createAt1148,isDefault148,updateAt148
roleName149,rolePermission1149,createAt1149,isDefault149,updateAt149
roleName150,rolePermission1150,createAt1150,isDefault150,updateAt150
roleName151,rolePermission1151,createAt1151,isDefault151,updateAt151
roleName152,rolePermission1152,createAt1152,isDefault152,updateAt152
roleName153,rolePermission1153,createAt1153,isDefault153,updateAt153
roleName154,rolePermission1154,createAt1154,isDefault154,updateAt154
roleName155,rolePermission1155,createAt1155,isDefault155,updateAt155
roleName156,rolePermission1156,createAt1156,isDefault156,updateAt156
roleName157,rolePermission1157,createAt1157,isDefault157,updateAt157
roleName158,rolePermission1158,createAt1158,isDefault158,updateAt158
roleName159,rolePermission1159,createAt1159,isDefault159,updateAt159
roleName160,rolePermission1160,createAt1160,isDefault160,updateAt160
roleName161,rolePermission1161,createAt1161,isDefault161,updateAt161
roleName162,rolePermission1162,createAt1162,isDefault162,updateAt162
roleName163,rolePermission1163,createAt1163,isDefault163,updateAt163
roleName164,rolePermission1164,createAt1164,isDefault164,updateAt164
roleName165,rolePermission1165,createAt1165,isDefault165,updateAt165
roleName166,rolePermission1166,createAt1166,isDefault166,updateAt166
roleName167,rolePermission1167,createAt1167,isDefault167,updateAt167
roleName168,rolePermission1168,createAt1168,isDefault168,updateAt168
roleName169,rolePermission1169,createAt1169,isDefault169,updateAt169
roleName170,rolePermission1170,createAt1170,isDefault170,updateAt170
roleName171,rolePermission1171,createAt1171,isDefault171,updateAt171
roleName172,rolePermission1172,createAt1172,isDefault172,updateAt172
roleName173,rolePermission1173,createAt1173,isDefault173,updateAt173
roleName174,rolePermission1174,createAt1174,isDefault174,updateAt174
roleName175,rolePermission1175,createAt1175,isDefault175,updateAt175
roleName176,rolePermission1176,createAt1176,isDefault176,updateAt176
roleName177,rolePermission1177,createAt1177,isDefault177,updateAt177
roleName178,rolePermission1178,createAt1178,isDefault178,updateAt178
roleName179,rolePermission1179,createAt1179,isDefault179,updateAt179
roleName180,rolePermission1180,createAt1180,isDefault180,updateAt180
roleName181,rolePermission1181,createAt1181,isDefault181,updateAt181
roleName182,rolePermission1182,createAt1182,isDefault182,updateAt182
roleName183,rolePermission1183,createAt1183,isDefault183,updateAt183
roleName184,rolePermission1184,createAt1184,isDefault184,updateAt184
roleName185,rolePermission1185,createAt1185,isDefault185,updateAt185
roleName186,rolePermission1186,createAt1186,isDefault186,updateAt186
roleName187,rolePermission1187,createAt1187,isDefault187,updateAt187
roleName188,rolePermission1188,createAt1188,isDefault188,updateAt188
roleName189,rolePermission1189,createAt1189,isDefault189,updateAt189
roleName190,rolePermission1190,createAt1190,isDefault190,updateAt190
roleName191,rolePermission1191,createAt1191,isDefault191,updateAt191
roleName192,rolePermission1192,createAt1192,isDefault192,updateAt192
roleName193,rolePermission1193,createAt1193,isDefault193,updateAt193
roleName194,rolePermission1194,createAt1194,isDefault194,updateAt194
roleName195,rolePermission1195,createAt1195,isDefault195,updateAt195
roleName196,rolePermission1196,createAt1196,isDefault196,updateAt196
roleName197,rolePermission1197,createAt1197,isDefault197,updateAt197
roleName198,rolePermission1198,createAt1198,isDefault198,updateAt198
roleName199,rolePermission1199,createAt1199,isDefault199,updateAt199
roleName200,rolePermission1200,createAt1200,isDefault200,updateAt200
roleName201,rolePermission1201,createAt1201,isDefault201,updateAt201
roleName202,rolePermission1202,createAt1202,isDefault202,updateAt202
roleName203,rolePermission1203,createAt1203,isDefault203,updateAt203
roleName204,rolePermission1204,createAt1204,isDefault204,updateAt204
roleName205,rolePermission1205,createAt1205,isDefault205,updateAt205
roleName206,rolePermission1206,createAt1206,isDefault206,updateAt206
roleName207,rolePermission1207,createAt1207,isDefault207,updateAt207
roleName208,rolePermission1208,createAt1208,isDefault208,updateAt208
roleName209,rolePermission1209,createAt1209,isDefault209,updateAt209
roleName210,rolePermission1210,createAt1210,isDefault210,updateAt210
roleName211,rolePermission1211,createAt1211,isDefault211,updateAt211
roleName212,rolePermission1212,createAt1212,isDefault212,updateAt212
roleName213,rolePermission1213,createAt1213,isDefault213,updateAt213
roleName214,rolePermission1214,createAt1214,isDefault214,updateAt214
roleName215,rolePermission1215,createAt1215,isDefault215,updateAt215
roleName216,rolePermission1216,createAt1216,isDefault216,updateAt216
roleName217,rolePermission1217,createAt1217,isDefault217,updateAt217
roleName218,rolePermission1218,createAt1218,isDefault218,updateAt218
roleName219,rolePermission1219,createAt1219,isDefault219,updateAt219
roleName220,rolePermission1220,createAt1220,isDefault220,updateAt220
roleName221,rolePermission1221,createAt1221,isDefault221,updateAt221
roleName222,rolePermission1222,createAt1222,isDefault222,updateAt222
roleName223,rolePermission1223,createAt1223,isDefault223,updateAt223
roleName224,rolePermission1224,createAt1224,isDefault224,updateAt224
roleName225,rolePermission1225,createAt1225,isDefault225,updateAt225
roleName226,rolePermission1226,createAt1226,isDefault226,updateAt226
roleName227,rolePermission1227,createAt1227,isDefault227,updateAt227
roleName228,rolePermission1228,createAt1228,isDefault228,updateAt228
roleName229,rolePermission1229,createAt1229,isDefault229,updateAt229
roleName230,rolePermission1230,createAt1230,isDefault230,updateAt230
roleName231,rolePermission1231,createAt1231,isDefault231,updateAt231
roleName232,rolePermission1232,createAt1232,isDefault232,updateAt232
roleName233,rolePermission1233,createAt1233,isDefault233,updateAt233
roleName234,rolePermission1234,createAt1234,isDefault234,updateAt234
roleName235,rolePermission1235,createAt1235,isDefault235,updateAt235
roleName236,rolePermission1236,createAt1236,isDefault236,updateAt236
roleName237,rolePermission1237,createAt1237,isDefault237,updateAt237
roleName238,rolePermission1238,createAt1238,isDefault238,updateAt238
roleName239,rolePermission1239,createAt1239,isDefault239,updateAt239
roleName240,rolePermission1240,createAt1240,isDefault240,updateAt240
roleName241,rolePermission1241,createAt1241,isDefault241,updateAt241
roleName242,rolePermission1242,createAt1242,isDefault242,updateAt242
roleName243,rolePermission1243,createAt1243,isDefault243,updateAt243
roleName244,rolePermission1244,createAt1244,isDefault244,updateAt244
roleName245,rolePermission1245,createAt1245,isDefault245,updateAt245
roleName246,rolePermission1246,createAt1246,isDefault246,updateAt246
roleName247,rolePermission1247,createAt1247,isDefault247,updateAt247
roleName248,rolePermission1248,createAt1248,isDefault248,updateAt248
roleName249,rolePermission1249,createAt1249,isDefault249,updateAt249
roleName250,rolePermission1250,createAt1250,isDefault250,updateAt250
roleName251,rolePermission1251,createAt1251,isDefault251,updateAt251
roleName252,rolePermission1252,createAt1252,isDefault252,updateAt252
roleName253,rolePermission1253,createAt1253,isDefault253,updateAt253
roleName254,rolePermission1254,createAt1254,isDefault254,updateAt254
roleName255,rolePermission1255,createAt1255,isDefault255,updateAt255
roleName256,rolePermission1256,createAt1256,isDefault256,updateAt256
roleName257,rolePermission1257,createAt1257,isDefault257,updateAt257
roleName258,rolePermission1258,createAt1258,isDefault258,updateAt258
roleName259,rolePermission1259,createAt1259,isDefault259,updateAt259
roleName260,rolePermission1260,createAt1260,isDefault260,updateAt260
roleName261,rolePermission1261,createAt1261,isDefault261,updateAt261
roleName262,rolePermission1262,createAt1262,isDefault262,updateAt262
roleName263,rolePermission1263,createAt1263,isDefault263,updateAt263
roleName264,rolePermission1264,createAt1264,isDefault264,updateAt264
roleName265,rolePermission1265,createAt1265,isDefault265,updateAt265
roleName266,rolePermission1266,createAt1266,isDefault266,updateAt266
roleName267,rolePermission1267,createAt1267,isDefault267,updateAt267
roleName268,rolePermission1268,createAt1268,isDefault268,updateAt268
roleName269,rolePermission1269,createAt1269,isDefault269,updateAt269
roleName270,rolePermission1270,createAt1270,isDefault270,updateAt270
roleName271,rolePermission1271,createAt1271,isDefault271,updateAt271
roleName272,rolePermission1272,createAt1272,isDefault272,updateAt272
roleName273,rolePermission1273,createAt1273,isDefault273,updateAt273
roleName274,rolePermission1274,createAt1274,isDefault274,updateAt274
roleName275,rolePermission1275,createAt1275,isDefault275,updateAt275
roleName276,rolePermission1276,createAt1276,isDefault276,updateAt276
roleName277,rolePermission1277,createAt1277,isDefault277,updateAt277
roleName278,rolePermission1278,createAt1278,isDefault278,updateAt278
roleName279,rolePermission1279,createAt1279,isDefault279,updateAt279
roleName280,rolePermission1280,createAt1280,isDefault280,updateAt280
roleName281,rolePermission1281,createAt1281,isDefault281,updateAt281
roleName282,rolePermission1282,createAt1282,isDefault282,updateAt282
roleName283,rolePermission1283,createAt1283,isDefault283,updateAt283
roleName284,rolePermission1284,createAt1284,isDefault284,updateAt284
roleName285,rolePermission1285,createAt1285,isDefault285,updateAt285
roleName286,rolePermission1286,createAt1286,isDefault286,updateAt286
roleName287,rolePermission1287,createAt1287,isDefault287,updateAt287
roleName288,rolePermission1288,createAt1288,isDefault288,updateAt288
roleName289,rolePermission1289,createAt1289,isDefault289,updateAt289
roleName290,rolePermission1290,createAt1290,isDefault290,updateAt290
roleName291,rolePermission1291,createAt1291,isDefault291,updateAt291
roleName292,rolePermission1292,createAt1292,isDefault292,updateAt292
roleName293,rolePermission1293,createAt1293,isDefault293,updateAt293
roleName294,rolePermission1294,createAt1294,isDefault294,updateAt294
roleName295,rolePermission1295,createAt1295,isDefault295,updateAt295
roleName296,rolePermission1296,createAt1296,isDefault296,updateAt296
roleName297,rolePermission1297,createAt1297,isDefault297,updateAt297
roleName298,rolePermission1298,createAt1298,isDefault298,updateAt298
roleName299,rolePermission1299,createAt1299,isDefault299,updateAt299
roleName300,rolePermission1300,createAt1300,isDefault300,updateAt300
roleName301,rolePermission1301,createAt1301,isDefault301,updateAt301
roleName302,rolePermission1302,createAt1302,isDefault302,updateAt302
roleName303,rolePermission1303,createAt1303,isDefault303,updateAt303
roleName304,rolePermission1304,createAt1304,isDefault304,updateAt304
roleName305,rolePermission1305,createAt1305,isDefault305,updateAt305
roleName306,rolePermission1306,createAt1306,isDefault306,updateAt306
roleName307,rolePermission1307,createAt1307,isDefault307,updateAt307
roleName308,rolePermission1308,createAt1308,isDefault308,updateAt308
roleName309,rolePermission1309,createAt1309,isDefault309,updateAt309
roleName310,rolePermission1310,createAt1310,isDefault310,updateAt310
roleName311,rolePermission1311,createAt1311,isDefault311,updateAt311
roleName312,rolePermission1312,createAt1312,isDefault312,updateAt312
roleName313,rolePermission1313,createAt1313,isDefault313,updateAt313
roleName314,rolePermission1314,createAt1314,isDefault314,updateAt314
roleName315,rolePermission1315,createAt1315,isDefault315,updateAt315
roleName316,rolePermission1316,createAt1316,isDefault316,updateAt316
roleName317,rolePermission1317,createAt1317,isDefault317,updateAt317
roleName318,rolePermission1318,createAt1318,isDefault318,updateAt318
roleName319,rolePermission1319,createAt1319,isDefault319,updateAt319
roleName320,rolePermission1320,createAt1320,isDefault320,updateAt320
roleName321,rolePermission1321,createAt1321,isDefault321,updateAt321
roleName322,rolePermission1322,createAt1322,isDefault322,updateAt322
roleName323,rolePermission1323,createAt1323,isDefault323,updateAt323
roleName324,rolePermission1324,createAt1324,isDefault324,updateAt324
roleName325,rolePermission1325,createAt1325,isDefault325,updateAt325
roleName326,rolePermission1326,createAt1326,isDefault326,updateAt326
roleName327,rolePermission1327,createAt1327,isDefault327,updateAt327
roleName328,rolePermission1328,createAt1328,isDefault328,updateAt328
roleName329,rolePermission1329,createAt1329,isDefault329,updateAt329
roleName330,rolePermission1330,createAt1330,isDefault330,updateAt330
roleName331,rolePermission1331,createAt1331,isDefault331,updateAt331
roleName332,rolePermission1332,createAt1332,isDefault332,updateAt332
roleName333,rolePermission1333,createAt1333,isDefault333,updateAt333
roleName334,rolePermission1334,createAt1334,isDefault334,updateAt334
roleName335,rolePermission1335,createAt1335,isDefault335,updateAt335
roleName336,rolePermission1336,createAt1336,isDefault336,updateAt336
roleName337,rolePermission1337,createAt1337,isDefault337,updateAt337
roleName338,rolePermission1338,createAt1338,isDefault338,updateAt338
roleName339,rolePermission1339,createAt1339,isDefault339,updateAt339
roleName340,rolePermission1340,createAt1340,isDefault340,updateAt340
roleName341,rolePermission1341,createAt1341,isDefault341,updateAt341
roleName342,rolePermission1342,createAt1342,isDefault342,updateAt342
roleName343,rolePermission1343,createAt1343,isDefault343,updateAt343
roleName344,rolePermission1344,createAt1344,isDefault344,updateAt344
roleName345,rolePermission1345,createAt1345,isDefault345,updateAt345
roleName346,rolePermission1346,createAt1346,isDefault346,updateAt346
roleName347,rolePermission1347,createAt1347,isDefault347,updateAt347
roleName348,rolePermission1348,createAt1348,isDefault348,updateAt348
roleName349,rolePermission1349,createAt1349,isDefault349,updateAt349
roleName350,rolePermission1350,createAt1350,isDefault350,updateAt350
roleName351,rolePermission1351,createAt1351,isDefault351,updateAt351
roleName352,rolePermission1352,createAt1352,isDefault352,updateAt352
roleName353,rolePermission1353,createAt1353,isDefault353,updateAt353
roleName354,rolePermission1354,createAt1354,isDefault354,updateAt354
roleName355,rolePermission1355,createAt1355,isDefault355,updateAt355
roleName356,rolePermission1356,createAt1356,isDefault356,updateAt356
roleName357,rolePermission1357,createAt1357,isDefault357,updateAt357
roleName358,rolePermission1358,createAt1358,isDefault358,updateAt358
roleName359,rolePermission1359,createAt1359,isDefault359,updateAt359
roleName360,rolePermission1360,createAt1360,isDefault360,updateAt360
roleName361,rolePermission1361,createAt1361,isDefault361,updateAt361
roleName362,rolePermission1362,createAt1362,isDefault362,updateAt362
roleName363,rolePermission1363,createAt1363,isDefault363,updateAt363
roleName364,rolePermission1364,createAt1364,isDefault364,updateAt364
roleName365,rolePermission1365,createAt1365,isDefault365,updateAt365
roleName366,rolePermission1366,createAt1366,isDefault366,updateAt366
roleName367,rolePermission1367,createAt1367,isDefault367,updateAt367
roleName368,rolePermission1368,createAt1368,isDefault368,updateAt368
roleName369,rolePermission1369,createAt1369,isDefault369,updateAt369
roleName370,rolePermission1370,createAt1370,isDefault370,updateAt370
roleName371,rolePermission1371,createAt1371,isDefault371,updateAt371
roleName372,rolePermission1372,createAt1372,isDefault372,updateAt372
roleName373,rolePermission1373,createAt1373,isDefault373,updateAt373
roleName374,rolePermission1374,createAt1374,isDefault374,updateAt374
roleName375,rolePermission1375,createAt1375,isDefault375,updateAt375
roleName376,rolePermission1376,createAt1376,isDefault376,updateAt376
roleName377,rolePermission1377,createAt1377,isDefault377,updateAt377
roleName378,rolePermission1378,createAt1378,isDefault378,updateAt378
roleName379,rolePermission1379,createAt1379,isDefault379,updateAt379
roleName380,rolePermission1380,createAt1380,isDefault380,updateAt380
roleName381,rolePermission1381,createAt1381,isDefault381,updateAt381
roleName382,rolePermission1382,createAt1382,isDefault382,updateAt382
roleName383,rolePermission1383,createAt1383,isDefault383,updateAt383
roleName384,rolePermission1384,createAt1384,isDefault384,updateAt384
roleName385,rolePermission1385,createAt1385,isDefault385,updateAt385
roleName386,rolePermission1386,createAt1386,isDefault386,updateAt386
roleName387,rolePermission1387,createAt1387,isDefault387,updateAt387
roleName388,rolePermission1388,createAt1388,isDefault388,updateAt388
roleName389,rolePermission1389,createAt1389,isDefault389,updateAt389
roleName390,rolePermission1390,createAt1390,isDefault390,updateAt390
roleName391,rolePermission1391,createAt1391,isDefault391,updateAt391
roleName392,rolePermission1392,createAt1392,isDefault392,updateAt392
roleName393,rolePermission1393,createAt1393,isDefault393,updateAt393
roleName394,rolePermission1394,createAt1394,isDefault394,updateAt394
roleName395,rolePermission1395,createAt1395,isDefault395,updateAt395
roleName396,rolePermission1396,createAt1396,isDefault396,updateAt396
roleName397,rolePermission1397,createAt1397,isDefault397,updateAt397
roleName398,rolePermission1398,createAt1398,isDefault398,updateAt398
roleName399,rolePermission1399,createAt1399,isDefault399,updateAt399
roleName400,rolePermission1400,createAt1400,isDefault400,updateAt400
roleName401,rolePermission1401,createAt1401,isDefault401,updateAt401
roleName402,rolePermission1402,createAt1402,isDefault402,updateAt402
roleName403,rolePermission1403,createAt1403,isDefault403,updateAt403
roleName404,rolePermission1404,createAt1404,isDefault404,updateAt404
roleName405,rolePermission1405,createAt1405,isDefault405,updateAt405
roleName406,rolePermission1406,createAt1406,isDefault406,updateAt406
roleName407,rolePermission1407,createAt1407,isDefault407,updateAt407
roleName408,rolePermission1408,createAt1408,isDefault408,updateAt408
roleName409,rolePermission1409,createAt1409,isDefault409,updateAt409
roleName410,rolePermission1410,createAt1410,isDefault410,updateAt410
roleName411,rolePermission1411,createAt1411,isDefault411,updateAt411
roleName412,rolePermission1412,createAt1412,isDefault412,updateAt412
roleName413,rolePermission1413,createAt1413,isDefault413,updateAt413
roleName414,rolePermission1414,createAt1414,isDefault414,updateAt414
roleName415,rolePermission1415,createAt1415,isDefault415,updateAt415
roleName416,rolePermission1416,createAt1416,isDefault416,updateAt416
roleName417,rolePermission1417,createAt1417,isDefault417,updateAt417
roleName418,rolePermission1418,createAt1418,isDefault418,updateAt418
roleName419,rolePermission1419,createAt1419,isDefault419,updateAt419
roleName420,rolePermission1420,createAt1420,isDefault420,updateAt420
roleName421,rolePermission1421,createAt1421,isDefault421,updateAt421
roleName422,rolePermission1422,createAt1422,isDefault422,updateAt422
roleName423,rolePermission1423,createAt1423,isDefault423,updateAt423
roleName424,rolePermission1424,createAt1424,isDefault424,updateAt424
roleName425,rolePermission1425,createAt1425,isDefault425,updateAt425
roleName426,rolePermission1426,createAt1426,isDefault426,updateAt426
roleName427,rolePermission1427,createAt1427,isDefault427,updateAt427
roleName428,rolePermission1428,createAt1428,isDefault428,updateAt428
roleName429,rolePermission1429,createAt1429,isDefault429,updateAt429
roleName430,rolePermission1430,createAt1430,isDefault430,updateAt430
roleName431,rolePermission1431,createAt1431,isDefault431,updateAt431
roleName432,rolePermission1432,createAt1432,isDefault432,updateAt432
roleName433,rolePermission1433,createAt1433,isDefault433,updateAt433
roleName434,rolePermission1434,createAt1434,isDefault434,updateAt434
roleName435,rolePermission1435,createAt1435,isDefault435,updateAt435
roleName436,rolePermission1436,createAt1436,isDefault436,updateAt436
roleName437,rolePermission1437,createAt1437,isDefault437,updateAt437
roleName438,rolePermission1438,createAt1438,isDefault438,updateAt438
roleName439,rolePermission1439,createAt1439,isDefault439,updateAt439
roleName440,rolePermission1440,createAt1440,isDefault440,updateAt440
roleName441,rolePermission1441,createAt1441,isDefault441,updateAt441
roleName442,rolePermission1442,createAt1442,isDefault442,updateAt442
roleName443,rolePermission1443,createAt1443,isDefault443,updateAt443
roleName444,rolePermission1444,createAt1444,isDefault444,updateAt444
roleName445,rolePermission1445,createAt1445,isDefault445,updateAt445
roleName446,rolePermission1446,createAt1446,isDefault446,updateAt446
roleName447,rolePermission1447,createAt1447,isDefault447,updateAt447
roleName448,rolePermission1448,createAt1448,isDefault448,updateAt448
roleName449,rolePermission1449,createAt1449,isDefault449,updateAt449
roleName450,rolePermission1450,createAt1450,isDefault450,updateAt450
roleName451,rolePermission1451,createAt1451,isDefault451,updateAt451
roleName452,rolePermission1452,createAt1452,isDefault452,updateAt452
roleName453,rolePermission1453,createAt1453,isDefault453,updateAt453
roleName454,rolePermission1454,createAt1454,isDefault454,updateAt454
roleName455,rolePermission1455,createAt1455,isDefault455,updateAt455
roleName456,rolePermission1456,createAt1456,isDefault456,updateAt456
